folder,file_name,date,hour,call_start,call_end,call_duration,time_start,time_end,rival,notes
13_S07,S4A16872_20220421_100505,2022-04-21,10:05:05,00:20:30,00:20:37,00:00:07,10:25:35,10:25:42,,
13_S07,S4A16872_20220421_100505,2022-04-21,10:05:05,00:39:56,00:40:08,00:00:12,10:45:01,10:45:13,,
13_S07,S4A16872_20220421_100505,2022-04-21,10:05:05,00:58:21,00:58:27,00:00:06,11:03:26,11:03:32,1,distant call before and after
13_S07,S4A16872_20220421_110508,2022-04-21,11:05:08,00:07:56,00:08:08,00:00:12,11:13:04,11:13:16,,other birds star calling as corncrake stops
13_S07,S4A16872_20220421_110508,2022-04-21,11:05:08,00:14:14,00:14:20,00:00:06,11:19:22,11:19:28,,
13_S07,S4A16872_20220421_120512,2022-04-21,12:05:12,00:46:28,00:46:36,00:00:08,12:51:40,12:51:48,,
13_S07,S4A16872_20220421_120512,2022-04-21,12:05:12,00:47:14,00:47:20,00:00:06,12:52:26,12:52:32,,
13_S07,S4A16872_20220421_120512,2022-04-21,12:05:12,00:59:43,00:59:54,00:00:11,13:04:55,13:05:06,,distant
13_S07,S4A16872_20220421_130516,2022-04-21,13:05:16,00:00:06,00:00:14,00:00:08,13:05:22,13:05:30,,
13_S07,S4A16872_20220421_130516,2022-04-21,13:05:16,00:17:45,00:17:57,00:00:12,13:23:01,13:23:13,,
13_S07,S4A16872_20220421_130516,2022-04-21,13:05:16,00:21:53,00:22:27,00:00:34,13:27:09,13:27:43,,
13_S07,S4A16872_20220421_130516,2022-04-21,13:05:16,00:28:54,00:30:47,00:01:53,13:34:10,13:36:03,1,"broken, aeroplane, rival"
13_S07,S4A16872_20220421_130516,2022-04-21,13:05:16,00:37:37,00:37:51,00:00:14,13:42:53,13:43:07,,
13_S07,S4A16872_20220421_130516,2022-04-21,13:05:16,00:44:53,00:45:03,00:00:10,13:50:09,13:50:19,,distant
13_S07,S4A16872_20220421_140520,2022-04-21,14:05:20,00:18:49,00:18:57,00:00:08,14:24:09,14:24:17,,distant
13_S07,S4A16872_20220421_150526,2022-04-21,15:05:26,00:41:45,00:41:56,00:00:11,15:47:11,15:47:22,,distant
13_S07,S4A16872_20220421_160528,2022-04-21,16:05:28,00:10:05,00:10:14,00:00:09,16:15:33,16:15:42,,
13_S07,S4A16872_20220421_160528,2022-04-21,16:05:28,00:25:21,00:25:33,00:00:12,16:30:49,16:31:01,,
13_S07,S4A16872_20220421_180536,2022-04-21,18:05:36,00:45:29,00:45:36,00:00:07,18:51:05,18:51:12,,
13_S07,S4A16872_20220421_190540,2022-04-21,19:05:40,00:34:29,00:34:39,00:00:10,19:40:09,19:40:19,,
