Intercept,s(temp),s(cloud),s(fraction),s(wind),s(hour),s(days),"ti(temp, cloud)","ti(fraction, cloud)","s(site, bs = ""re"")",DF,logLik,AICc,Delta,Weight
5.089,+,,+,+,+,+,,+,+,37,-2056.06,4189.37,0.00,0.33
5.087,+,+,+,+,+,+,,+,+,39,-2054.28,4190.64,1.28,0.18
5.081,+,,+,+,+,+,+,+,+,37,-2056.34,4190.93,1.57,0.15
5.004,+,,,+,+,+,,+,+,35,-2058.99,4192.20,2.83,0.08
5.078,+,+,+,+,+,+,+,+,+,40,-2054.04,4192.37,3.00,0.07
4.991,+,,,+,+,+,+,+,+,36,-2058.72,4193.55,4.19,0.04
5.006,+,+,,+,+,+,,+,+,36,-2058.81,4194.02,4.65,0.03
5.019,+,,+,+,+,+,,,+,34,-2061.73,4194.25,4.88,0.03
5.022,+,+,+,+,+,+,,,+,35,-2060.54,4195.26,5.89,0.02
4.980,+,,,+,+,+,,,+,31,-2065.00,4195.27,5.90,0.02
