p(Int),?(Int),p(temp),p(cloud),p(fraction),p(wdsp),p(cloud:fraction),DF,logLik,AICc,Delta,Weight
0.858,2.398,,-0.894,0.716,-1.377,,5,-59.23,138.47,0.00,0.53
0.807,2.398,-0.764,,0.834,-1.255,,5,-60.61,141.22,2.75,0.13
0.808,2.398,,-0.704,,-1.099,,4,-63.76,141.24,2.77,0.13
0.683,2.397,,,0.599,-1.316,,4,-63.91,141.54,3.07,0.11
0.678,2.398,,,,-1.097,,3,-67.31,143.62,5.15,0.04
1.010,2.398,,-0.964,1.007,-1.504,-0.650,6,-57.70,144.21,5.74,0.03
0.739,2.397,-0.389,,,-1.034,,4,-66.23,146.17,7.71,0.01
0.877,2.398,-0.296,-0.715,0.781,-1.335,,6,-58.96,146.73,8.26,0.01
0.802,2.398,0.131,-0.786,,-1.124,,5,-63.69,147.39,8.92,0.01
1.041,2.398,-0.373,-0.742,1.104,-1.443,-0.693,7,-57.30,156.59,18.13,>0.01
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
